date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:17:30	509/509	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jul%202023%2016:20:24%20GMT	https://bulletcard.cc/robots.txt		(from )
13:17:30	6391/6391	---MCZ	200	added ('OK')	text/html	date:Wed,%2005%20Jul%202023%2016:20:24%20GMT	https://bulletcard.cc/term/	C:/My%20Web%20Sites/sitedomudo/bulletcard.cc/term/index.html	(from )
13:17:30	1955/1955	---MCZ	200	added ('OK')	text/css	etag:W/%226735338af45635d8497af3a98a51a877%22	https://bulletcard.cc/term/assets/css/vvv.min.css	C:/My%20Web%20Sites/sitedomudo/bulletcard.cc/term/assets/css/vvv.min.css	(from https://bulletcard.cc/term/)
13:17:30	60915/60915	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2005%20Jul%202023%2016:20:25%20GMT	https://portridgefield.org/wp-content/uploads/ghost-png-icon-16-copy.png	C:/My%20Web%20Sites/sitedomudo/portridgefield.org/wp-content/uploads/ghost-png-icon-16-copy.1.delayed	(from https://bulletcard.cc/term/)
13:17:30	1172/1172	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a6b5e4c92dcb92373d95c3a86db0401e%22	https://bulletcard.cc/term/assets/js/tyeffect.js	C:/My%20Web%20Sites/sitedomudo/bulletcard.cc/term/assets/js/tyeffect.js	(from https://bulletcard.cc/term/)
13:17:31	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228feccc0-1762a%22	https://code.jquery.com/jquery-latest.min.js	C:/My%20Web%20Sites/sitedomudo/code.jquery.com/jquery-latest.min.js	(from https://bulletcard.cc/term/)
13:17:31	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2264a438ff-4d7%22	https://bulletcard.cc/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	C:/My%20Web%20Sites/sitedomudo/bulletcard.cc/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://bulletcard.cc/term/)
13:17:32	84355/84355	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-14983%22	https://cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	C:/My%20Web%20Sites/sitedomudo/cdnjs.cloudflare.com/ajax/libs/jquery/2.1.3/jquery.min.js	(from https://bulletcard.cc/term/)
13:17:33	239564/239564	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ec4-3a7cc%22	https://cdnjs.cloudflare.com/ajax/libs/jqueryui/1.11.2/jquery-ui.min.js	C:/My%20Web%20Sites/sitedomudo/cdnjs.cloudflare.com/ajax/libs/jqueryui/1.11.2/jquery-ui.min.js	(from https://bulletcard.cc/term/)
13:17:33	7460/7460	---MCZ	200	added ('OK')	text/javascript	etag:W/%22a5516e6190bea70bd553f4d0b1036dd9%22	https://bulletcard.cc/term/assets/js/vvv.min.js	C:/My%20Web%20Sites/sitedomudo/bulletcard.cc/term/assets/js/vvv.min.js	(from https://bulletcard.cc/term/)
